mm,mdd,dd,hr,Ts_C,VPD,u,"precip, mm","P, kPa","O3, ppb","PAR, W m-2"
6,6,157,23,15.56,0.20889,0.47,0,92.62,33.514,0
6,7,158,0,13.71,0.01923,0.52,0.003,92.66,32.454,0
6,7,158,1,14.61,0.14482,0.51,0.003,92.64,31.418,0
6,7,158,2,14.16,0.12592,0.5,0.003,92.65,30.432,0
6,7,158,3,13.7,0.10773,0.49,0.007,92.66,29.491,0
6,7,158,4,13.71,0.12035,0.55,0.007,92.66,29.39,0
6,7,158,5,13.7,0.13483,0.61,0.007,92.66,29.929,11.01
6,7,158,6,16.34,0.44768,0.67,0.097,92.63,29.798,193.29
6,7,158,7,14.58,0.27714,0.98,0.097,92.65,32.635,389.68
6,7,158,8,15.46,0.41155,1.1,0.097,92.64,36.585,571.31
6,7,158,9,19.39,0.95586,1.21,0.03,92.65,40.038,762.05
6,7,158,10,17.35,0.69273,1.29,0.03,92.63,42.118,888.2
6,7,158,11,18.37,0.84068,1.36,0.03,92.64,43.138,968.88
6,7,158,12,19.62,1.03062,1.43,0.007,92.64,43.391,996.56
6,7,158,13,19.47,1.06111,1.39,0.007,92.65,43.157,973.82
6,7,158,14,19.54,1.12494,1.36,0.007,92.64,42.793,900
6,7,158,15,18.69,1.05622,1.33,0,92.65,42.419,785.71
6,7,158,16,19.31,1.16721,1.29,0,92.64,41.794,626.12
6,7,158,17,19,1.14528,1.24,0,92.65,40.722,437.95
6,7,158,18,15.64,0.72889,1.17,0,92.81,40.239,232.35
6,7,158,19,17.66,0.97571,1.03,0,92.69,39.366,30.64
6,7,158,20,16.64,0.83971,0.85,0,92.74,38.3,0
6,7,158,21,12.7,0.36326,0.29,0,92.88,35.673,0
6,7,158,22,14.65,0.56787,0.26,0,92.83,33.304,0
6,7,158,23,13.67,0.47101,0.24,0,92.85,31.602,0
6,8,159,0,10.92,0.22126,0.24,0,92.9,30.307,0
6,8,159,1,12.1,0.31828,0.22,0,92.88,29.313,0
6,8,159,2,11.51,0.25472,0.2,0,92.89,28.551,0
6,8,159,3,10.8,0.18444,0.18,0,93.02,27.884,0
6,8,159,4,10.87,0.18594,0.18,0,92.93,27.383,0
6,8,159,5,10.83,0.17694,0.18,0,92.97,27.281,11.29
6,8,159,6,19.93,1.22235,0.18,0,93.08,27.122,203.2
6,8,159,7,13.84,0.4329,0.59,0,93.03,39.317,409.88
6,8,159,8,16.88,0.75615,0.61,0,93.05,43.312,600.97
6,8,159,9,23.85,1.79783,0.67,0,93.08,46.595,765.04
6,8,159,10,21.24,1.39033,0.71,0,93.08,49.799,891.8
6,8,159,11,22.54,1.64883,0.75,0,93.08,51.811,972.96
6,8,159,12,25.6,2.26348,0.79,0,93,52.926,1003.33
6,8,159,13,24.44,2.05829,0.72,0,93.06,53.568,980.5
6,8,159,14,25.02,2.19497,0.65,0,93.04,54.027,906.41
6,8,159,15,24.16,2.05243,0.58,0,92.99,54.315,785.83
6,8,159,16,25.12,2.27632,0.51,0,93,54.255,626.49
6,8,159,17,24.64,2.21986,0.44,0,92.99,53.595,438.63
6,8,159,18,18.94,1.30345,0.37,0,93.1,53.331,233.39
6,8,159,19,22.41,1.81816,0.34,0,93.01,52.164,31.82
6,8,159,20,20.67,1.51375,0.31,0,93.05,50.652,0
6,8,159,21,14.82,0.73493,0.08,0,93.06,47.017,0
6,8,159,22,17.57,1.07333,0.07,0,93.09,44.05,0
6,8,159,23,16.2,0.91174,0.07,0,93.08,41.643,0
6,9,160,0,13.07,0.58025,0.07,0,92.98,39.473,0
6,9,160,1,14.24,0.67211,0.05,0,93.04,37.183,0
6,9,160,2,13.66,0.58391,0.04,0,93.02,34.861,0
6,9,160,3,13.61,0.55385,0.05,0,93,32.147,0
6,9,160,4,13.25,0.48381,0,0,92.98,29.745,0
6,9,160,5,13.43,0.46168,0.01,0,92.99,28.672,9.13
6,9,160,6,22,1.60497,0.08,0,93.07,28.757,167.17
6,9,160,7,16.4,0.70235,0.6,0,93.02,37.504,336.9
6,9,160,8,19.2,0.97239,0.8,0,93.04,40.411,493.83
6,9,160,9,27.1,2.28955,0.98,0,93.01,43.824,717.46
6,9,160,10,23.71,1.63215,1.11,0,93.06,51.168,836.27
6,9,160,11,25.41,1.98465,1.25,0,93.04,55.558,912.5
6,9,160,12,27.96,2.56212,1.4,0,92.95,56.957,791.79
6,9,160,13,27.39,2.48058,1.34,0,93,57.432,773.95
6,9,160,14,27.68,2.59299,1.28,0,92.98,57.601,715.66
6,9,160,15,26.16,2.31047,1.22,0,92.87,57.445,428.08
6,9,160,16,27.37,2.57369,1.09,0,92.93,56.923,341.48
6,9,160,17,26.77,2.4425,0.95,0,92.91,55.661,239.42
6,9,160,18,21.63,1.33068,0.52,0,92.89,53.292,235.25
6,9,160,19,24.65,1.86215,0.44,0,92.87,51.083,33.27
6,9,160,20,23.14,1.5894,0.35,0,92.88,48.758,0
6,9,160,21,18.39,0.90635,0.15,0,92.83,45.526,0
6,9,160,22,20.56,1.1826,0.14,0,92.88,43.158,0
6,9,160,23,19.48,1.00064,0.16,0,92.86,41.078,0
6,10,161,0,16.54,0.59849,0.22,0,92.75,38.82,0
6,10,161,1,17.78,0.77196,0.19,0,92.81,36.498,0
6,10,161,2,17.16,0.71648,0.18,0,92.79,34.785,0
6,10,161,3,16.33,0.64764,0.2,0,92.67,33.705,0
6,10,161,4,16.48,0.65322,0.16,0,92.73,32.432,0
6,10,161,5,16.41,0.63785,0.14,0,92.71,31.125,9.96
6,10,161,6,21.01,1.28197,0.13,0,92.71,29.302,167.61
6,10,161,7,17.89,0.8183,0.6,0,92.68,33.007,337.13
6,10,161,8,19.45,0.98463,0.72,0,92.69,38.196,493.91
6,10,161,9,23.41,1.57824,0.82,0,92.67,43.343,488.35
6,10,161,10,21.81,1.34155,0.94,0,92.7,50.868,569.22
6,10,161,11,22.61,1.51608,1.06,0,92.69,55.443,621.11
6,10,161,12,26.17,2.23533,1.19,0,92.5,55.973,1004.28
6,10,161,13,24.35,1.92329,1.25,0,92.63,54.263,981.7
6,10,161,14,25.27,2.15597,1.31,0,92.58,51.818,908.13
6,10,161,15,24.06,1.97738,1.36,0,92.46,49.038,788.19
6,10,161,16,25.47,2.24339,1.36,0,92.49,46.491,629.32
6,10,161,17,24.77,2.09472,1.34,0,92.48,44.799,441.96
6,10,161,18,20.45,1.32691,1.28,0,92.58,44.6,237.16
6,10,161,19,22.84,1.65878,1.13,0,92.49,43.541,34.86
6,10,161,20,21.64,1.38609,0.86,0,92.53,41.59,0
6,10,161,21,17.38,0.70315,0.49,0.003,92.66,38.459,0
6,10,161,22,19.42,0.9369,0.49,0.003,92.6,35.97,0
6,10,161,23,18.4,0.75012,0.5,0.003,92.62,34.61,0
6,11,162,0,15.16,0.30458,0.53,0.001,92.7,33.97,0
6,11,162,1,16.64,0.48079,0.52,0.001,92.67,33.709,0
6,11,162,2,15.9,0.39344,0.52,0.001,92.68,33.697,0
6,11,162,3,13.87,0.16899,0.52,0,92.77,33.792,0
6,11,162,4,14.72,0.2984,0.54,0,92.72,34.544,0
6,11,162,5,14.29,0.29064,0.59,0,92.74,35.389,11.96
6,11,162,6,19.44,0.97708,0.66,0,92.76,34.838,203.99
6,11,162,7,15.73,0.53437,0.82,0,92.77,36.068,410.1
6,11,162,8,17.58,0.80344,0.87,0,92.76,37.884,600.89
6,11,162,9,24.3,1.90647,0.9,0,92.69,40.126,764.99
6,11,162,10,21.07,1.38991,0.94,0,92.74,42.429,891.69
6,11,162,11,22.69,1.70344,0.98,0,92.72,43.948,973.15
6,11,162,12,26.41,2.46475,1.02,0,92.62,44.784,1001.57
6,11,162,13,25.01,2.18394,1.01,0,92.67,45.004,979.39
6,11,162,14,25.71,2.33033,1.01,0,92.65,44.708,906.17
6,11,162,15,25.04,2.20046,1.01,0,92.59,44.029,788.56
6,11,162,16,25.96,2.37016,0.94,0,92.61,43.03,629.97
6,11,162,17,25.5,2.25992,0.87,0,92.6,41.507,442.86
6,11,162,18,19.57,1.20935,0.77,0,92.68,40.409,238.34
6,11,162,19,23.21,1.82001,0.65,0,92.61,38.665,36.03
6,11,162,20,21.38,1.53601,0.53,0,92.64,36.824,0
6,11,162,21,15.72,0.77968,0.1,0,92.67,33.171,0
6,11,162,22,18.29,1.06601,0.04,0,92.68,29.944,0
6,11,162,23,17,0.89055,0.04,0,92.67,27.279,0
6,12,163,0,13.98,0.54697,0.1,0,92.56,24.568,0
6,12,163,1,15.15,0.67178,0.04,0,92.65,21.681,0
6,12,163,2,14.57,0.60752,0.02,0,92.61,18.867,0
6,12,163,3,13.41,0.50005,0.08,0,92.61,15.851,0
6,12,163,4,13.79,0.51931,0.01,0,92.57,13.155,0
6,12,163,5,13.6,0.49986,0.03,0,92.59,13.017,12.09
6,12,163,6,21.51,1.54042,0.1,0,92.61,16.029,204.09
6,12,163,7,16.11,0.75063,0.42,0,92.61,27.866,410.07
6,12,163,8,18.81,1.07152,0.42,0,92.61,31.373,600.74
6,12,163,9,23.86,1.85682,0.48,0,92.59,35.336,670.67
6,12,163,10,22.3,1.62416,0.48,0,92.61,41.171,781.87
6,12,163,11,23.08,1.80286,0.49,0,92.6,48.223,853.35
6,12,163,12,26.68,2.54878,0.52,0,92.53,53.961,251.02
6,12,163,13,24.81,2.22001,0.55,0,92.58,56.841,245.51
6,12,163,14,25.75,2.462,0.59,0,92.56,58,227.21
6,12,163,15,25.06,2.37851,0.64,0,92.47,58.286,628.14
6,12,163,16,26.15,2.59873,0.65,0,92.52,57.447,502.1
6,12,163,17,25.61,2.48535,0.64,0,92.5,55.616,353.4
6,12,163,18,21.14,1.65206,0.57,0,92.48,53.576,228.39
6,12,163,19,23.75,2.06982,0.46,0,92.47,51.192,35.53
6,12,163,20,22.45,1.81237,0.35,0,92.48,48.648,0
6,12,163,21,16.92,0.98567,0.07,0,92.44,44.406,0
6,12,163,22,19.74,1.36573,0.04,0,92.47,41.237,0
6,12,163,23,18.33,1.17436,0.06,0,92.46,38.74,0
6,13,164,0,14.22,0.68698,0.09,0,92.42,36.563,0
6,13,164,1,16.02,0.87804,0.06,0,92.44,34.404,0
6,13,164,2,15.12,0.77386,0.07,0,92.43,32.329,0
6,13,164,3,13.95,0.65312,0.12,0,92.44,29.975,0
6,13,164,4,14.13,0.65599,0.12,0,92.42,27.711,0
6,13,164,5,14.04,0.63103,0.13,0,92.43,26.563,12.13
6,13,164,6,22.59,1.78298,0.13,0,92.5,25.881,204.08
6,13,164,7,16.82,0.90659,0.74,0,92.45,33.367,410.02
6,13,164,8,19.7,1.26052,0.88,0,92.47,36.784,600.57
6,13,164,9,26.74,2.48859,1.01,0,92.46,40.821,764.61
6,13,164,10,23.98,1.93507,1.08,0,92.49,45.511,891.43
6,13,164,11,25.36,2.2033,1.15,0,92.48,48.816,973.05
6,13,164,12,26.94,2.53585,1.22,0.003,92.39,50.797,1003.47
6,13,164,13,26.81,2.46991,1.25,0.003,92.44,51.566,981.64
6,13,164,14,26.88,2.44675,1.28,0.003,92.42,51.222,908.75
6,13,164,15,24.59,1.94033,1.31,0.007,92.41,49.979,787.37
6,13,164,16,26.15,2.22349,1.24,0.007,92.39,47.922,629.86
6,13,164,17,25.37,2.03041,1.15,0.007,92.4,45.332,443.8
6,13,164,18,20.91,1.19347,1.03,0,92.47,43.325,240.95
6,13,164,19,23.36,1.57693,0.9,0,92.42,40.969,38.47
6,13,164,20,22.13,1.32598,0.72,0,92.44,38.621,0
6,13,164,21,17.93,0.64151,0.28,0.003,92.52,35.021,0
6,13,164,22,19.91,0.90596,0.27,0.003,92.48,31.794,0
6,13,164,23,18.92,0.75126,0.27,0.003,92.5,29.483,0
6,14,165,0,15.92,0.35399,0.28,0.003,92.62,28.008,0
6,14,165,1,17.25,0.53967,0.31,0.003,92.54,27.568,0
6,14,165,2,16.58,0.47557,0.33,0.003,92.58,27.533,0
6,14,165,3,15.06,0.31425,0.36,0,92.74,27.666,0
6,14,165,4,15.62,0.39328,0.47,0,92.65,28.769,0
6,14,165,5,15.33,0.37107,0.56,0,92.69,29.635,12.04
6,14,165,6,20.34,1.0411,0.64,0.001,92.86,28.874,203.15
6,14,165,7,16.81,0.59434,0.8,0.001,92.77,30.936,408.87
6,14,165,8,18.57,0.85723,0.78,0.001,92.81,34.015,599.19
6,14,165,9,24.76,1.90759,0.76,0,92.91,38.288,763.28
6,14,165,10,21.81,1.40017,0.81,0,92.87,43.565,890.26
6,14,165,11,23.28,1.67421,0.87,0,92.89,47.596,971.93
6,14,165,12,27.19,2.47596,0.93,0,92.79,50.705,1003.23
6,14,165,13,25.58,2.19094,0.88,0,92.88,53.587,981.52
6,14,165,14,26.39,2.41561,0.83,0,92.84,56.281,908.84
6,14,165,15,25.82,2.35282,0.78,0,92.76,58.348,789.82
6,14,165,16,26.74,2.55884,0.68,0,92.78,59.448,631.97
6,14,165,17,26.28,2.47346,0.58,0,92.77,59.599,445.55
6,14,165,18,20.59,1.44653,0.47,0,92.84,59.695,241.68
6,14,165,19,24.07,2.0466,0.48,0,92.78,58.503,39.3
6,14,165,20,22.33,1.74816,0.5,0,92.8,56.798,0
6,14,165,21,16.52,0.89569,0.13,0,92.89,52.751,0
6,14,165,22,19.23,1.2706,0.13,0,92.85,49.425,0
6,14,165,23,17.87,1.10258,0.14,0,92.87,46.877,0
6,15,166,0,13.86,0.64883,0.15,0,92.91,44.809,0
6,15,166,1,15.63,0.84467,0.14,0,92.89,43.041,0
6,15,166,2,14.74,0.74649,0.13,0,92.9,41.542,0
6,15,166,3,13.93,0.66297,0.13,0,92.9,40.131,0
6,15,166,4,13.88,0.63458,0.14,0,92.91,39.318,0
6,15,166,5,13.91,0.61949,0.17,0,92.9,39.34,11.87
6,15,166,6,23.23,1.89656,0.18,0,92.97,38.832,202.76
6,15,166,7,17.02,0.94793,0.77,0,92.92,46.783,408.4
6,15,166,8,20.12,1.34172,0.85,0,92.94,50.665,598.8
6,15,166,9,27.3,2.63363,0.92,0,92.91,53.379,762.73
6,15,166,10,24.59,2.08067,1.02,0,92.96,55.038,889.61
6,15,166,11,25.95,2.35951,1.12,0,92.94,54.959,971.45
6,15,166,12,28.3,2.88747,1.21,0,92.79,54.511,1003
6,15,166,13,27.65,2.75241,1.19,0,92.88,54.152,981.49
6,15,166,14,27.98,2.84529,1.17,0,92.84,54.061,909.04
6,15,166,15,26.24,2.47887,1.16,0,92.76,54.343,790.26
6,15,166,16,27.62,2.79828,1.11,0,92.78,54.861,632.63
6,15,166,17,26.93,2.66171,1.05,0,92.77,55.424,446.43
6,15,166,18,20.6,1.48558,0.94,0,92.96,56.388,242.54
6,15,166,19,24.34,2.1284,0.85,0,92.8,56.545,40.29
6,15,166,20,22.46,1.76893,0.64,0,92.87,55.834,0
6,15,166,21,16.91,0.94729,0.27,0,92.98,52.804,0
6,15,166,22,19.37,1.28086,0.28,0,92.96,49.679,0
6,15,166,23,18.14,1.11688,0.31,0,92.97,46.821,0
6,16,167,0,14.38,0.67442,0.35,0,92.93,44.057,0
6,16,167,1,16.07,0.85202,0.35,0,92.97,41.497,0
6,16,167,2,15.23,0.7412,0.35,0,92.95,39.401,0
6,16,167,3,13.6,0.55383,0.35,0,92.9,37.463,0
6,16,167,4,14.12,0.58835,0.42,0,92.92,35.954,0
6,16,167,5,13.86,0.54132,0.48,0,92.91,34.677,11.73
6,16,167,6,21.17,1.47291,0.54,0,92.99,32.929,202.29
6,16,167,7,16.11,0.8164,0.82,0,92.92,41.004,407.83
6,16,167,8,18.64,1.1682,0.87,0,92.95,44.889,598.17
6,16,167,9,24.54,2.16212,0.91,0,92.99,48.068,761.97
6,16,167,10,22.29,1.81915,0.99,0,92.99,51.305,888.99
6,16,167,11,23.42,2.0778,1.07,0,92.99,51.991,970.92
6,16,167,12,25.36,2.51011,1.15,0,92.94,51.899,1002.46
6,16,167,13,24.82,2.41639,1.15,0,92.98,51.802,981.24
6,16,167,14,25.09,2.48325,1.16,0,92.96,51.29,908.97
6,16,167,15,23.28,2.15569,1.16,0,92.91,50.26,790.37
6,16,167,16,24.67,2.42698,1.1,0,92.93,48.696,632.97
6,16,167,17,23.98,2.30654,1.03,0,92.92,46.543,446.97
6,16,167,18,18.32,1.4036,0.93,0,93.01,44.852,243.44
6,16,167,19,21.62,1.89419,0.85,0,92.93,42.679,41.12
6,16,167,20,19.96,1.63286,0.74,0,92.97,40.621,0
6,16,167,21,14.3,0.86581,0.23,0,92.98,37.152,0
6,16,167,22,16.98,1.15321,0.19,0,93,33.798,0
6,16,167,23,15.64,0.98092,0.16,0,92.99,30.98,0
6,17,168,0,12.16,0.62562,0.15,0,92.81,28.285,0
6,17,168,1,13.6,0.73433,0.14,0,92.94,25.755,0
6,17,168,2,12.89,0.63259,0.14,0,92.89,23.475,0
6,17,168,3,12.04,0.52407,0.15,0,92.76,21.489,0
6,17,168,4,12.12,0.49301,0.18,0,92.8,20.156,0
6,17,168,5,12.08,0.45255,0.2,0,92.78,19.896,11.56
6,17,168,6,21.34,1.57013,0.21,0,92.85,20.524,200.12
6,17,168,7,15.13,0.7721,0.4,0,92.78,32.751,403.74
6,17,168,8,18.23,1.15945,0.16,0,92.81,36.401,592.31
6,17,168,9,23.96,2.09302,0.22,0,92.8,39.417,698.61
6,17,168,10,22.22,1.80473,0.28,0,92.84,44.055,815.12
6,17,168,11,23.09,1.98204,0.38,0,92.82,50.121,890.4
6,17,168,12,22.14,1.84081,0.5,0,92.76,54.84,297.36
6,17,168,13,23.36,2.0517,0.44,0,92.79,57.283,291.13
6,17,168,14,22.75,1.94383,0.37,0,92.78,58.501,269.76
6,17,168,15,20.83,1.62516,0.31,0,92.78,59.122,232.68
6,17,168,16,21.7,1.66523,0.09,0,92.76,60.15,186.47
6,17,168,17,21.26,1.63513,0.31,0,92.77,61.502,131.79
6,17,168,18,17.49,1.05038,0.52,0,92.85,63.106,242.54
6,17,168,19,19.71,1.29588,0.61,0,92.8,61.912,41.74
6,17,168,20,18.6,1.07167,0.64,0,92.82,57.49,0
6,17,168,21,15.07,0.54592,0.37,0,92.89,48.859,0
6,17,168,22,16.68,0.70126,0.47,0,92.86,40.91,0
6,17,168,23,15.87,0.56145,0.58,0,92.87,36.464,0
6,18,169,0,13.73,0.27916,0.72,0.003,92.81,34.874,0
6,18,169,1,14.63,0.37312,0.64,0.003,92.87,34.176,0
6,18,169,2,14.18,0.3263,0.6,0.003,92.85,32.753,0
6,18,169,3,14.26,0.33688,0.59,0.013,92.92,31.032,0
6,18,169,4,13.9,0.27392,0.62,0.013,92.83,30.422,0
6,18,169,5,14.07,0.26696,0.65,0.013,92.87,31.046,11.27
6,18,169,6,18.96,0.83854,0.69,0,93.07,31.394,200.22
6,18,169,7,15.81,0.46442,1,0,92.95,35.812,404.85
6,18,169,8,17.38,0.68316,1.06,0,93,40.444,594.33
6,18,169,9,21.65,1.33198,1.11,0.225,93.02,44.951,722.8
6,18,169,10,19.86,1.05732,1.07,0.225,93.06,50.152,843.59
6,18,169,11,20.76,1.19793,1.03,0.225,93.04,53.628,921.72
6,18,169,12,22.86,1.5527,1,0.484,92.79,54.971,897.48
6,18,169,13,22.08,1.41558,0.99,0.484,92.97,55.061,878.61
6,18,169,14,22.48,1.48395,0.98,0.484,92.89,54.435,814.38
6,18,169,15,21.68,1.35029,0.97,0.029,92.77,53.242,784.3
6,18,169,16,22.47,1.50281,0.91,0.029,92.79,51.499,628.71
6,18,169,17,22.08,1.45569,0.85,0.029,92.78,49.007,444.7
6,18,169,18,19.24,1.02908,0.77,0.043,92.91,46.698,218.59
6,18,169,19,20.85,1.28154,0.6,0.043,92.8,43.883,38.2
6,18,169,20,20.04,1.1681,0.43,0.043,92.85,41.307,0
6,18,169,21,16.46,0.66378,0.04,0.03,92.9,37.384,0
6,18,169,22,18.31,0.8727,0.02,0.03,92.91,34.13,0
6,18,169,23,17.39,0.77957,0.02,0.03,92.9,31.411,0
6,19,170,0,14.2,0.43745,0.06,0.003,92.71,29.224,0
6,19,170,1,15.73,0.58052,0.04,0.003,92.86,28.028,0
6,19,170,2,14.97,0.49885,0.08,0.003,92.79,27.968,0
6,19,170,3,14.66,0.46898,0.14,0.01,92.67,28.592,0
6,19,170,4,14.36,0.42076,0.17,0.01,92.7,29.308,0
6,19,170,5,14.51,0.42859,0.2,0.01,92.69,29.524,10.97
6,19,170,6,21.75,1.39747,0.22,0,92.78,28.372,199.52
6,19,170,7,17.01,0.74464,0.74,0,92.69,38.361,403.62
6,19,170,8,19.38,1.06767,0.85,0,92.73,43.429,592.7
6,19,170,9,24.19,1.86919,0.97,0,92.72,47.736,753.82
6,19,170,10,22.57,1.58625,1.05,0,92.77,51.22,879.89
6,19,170,11,23.38,1.73859,1.14,0,92.75,53.225,961.53
6,19,170,12,25.45,2.1426,1.25,0,92.63,53.864,1001.97
6,19,170,13,24.62,2.03444,1.21,0,92.7,53.477,981.29
6,19,170,14,25.04,2.17254,1.18,0,92.67,52.375,909.71
6,19,170,15,23.96,2.02194,1.15,0,92.65,50.818,791.73
6,19,170,16,24.95,2.23893,1.08,0,92.63,48.982,635
6,19,170,17,24.45,2.16798,1,0,92.64,46.84,449.5
6,19,170,18,18.68,1.23788,0.89,0,92.69,45.458,236.87
6,19,170,19,22.2,1.81426,0.75,0,92.66,43.709,42.02
6,19,170,20,20.44,1.57245,0.61,0,92.67,41.985,0
6,19,170,21,14.82,0.85942,0.12,0,92.67,38.409,0
6,19,170,22,17.4,1.14572,0.1,0,92.69,35.287,0
6,19,170,23,16.11,0.97849,0.1,0,92.68,32.651,0
6,20,171,0,13.7,0.70871,0.13,0,92.66,30.232,0
6,20,171,1,14.45,0.70102,0.26,0,92.67,29.033,0
6,20,171,2,14.07,0.57996,0.36,0,92.66,27.909,0
6,20,171,3,13.16,0.40769,0.47,0,92.73,26.625,0
6,20,171,4,13.51,0.42701,0.57,0,92.68,25.639,0
6,20,171,5,13.33,0.39042,0.68,0,92.7,24.799,10.69
6,20,171,6,21.47,1.42717,0.76,0,92.7,23.685,200.09
6,20,171,7,15.93,0.73035,0.64,0,92.72,34.319,405.23
6,20,171,8,18.7,1.16232,0.35,0,92.71,37.632,595.54
6,20,171,9,25.91,2.46023,0.26,0,92.59,41.133,757
6,20,171,10,22.96,1.89792,0.48,0,92.68,48.019,883.73
6,20,171,11,24.44,2.15892,0.7,0,92.64,54.218,965.94
6,20,171,12,27.54,2.7938,0.89,0,92.44,57.646,1001.94
6,20,171,13,26.47,2.5427,0.92,0,92.56,58.289,981.38
6,20,171,14,27.01,2.64461,0.96,0,92.51,57.68,910.03
6,20,171,15,25.85,2.38234,0.99,0,92.42,56.361,792.34
6,20,171,16,26.98,2.62662,0.99,0,92.44,54.495,635.75
6,20,171,17,26.42,2.50746,0.97,0,92.43,51.923,450.42
6,20,171,18,20.52,1.42247,0.9,0,92.42,49.753,247.51
6,20,171,19,24.07,2.02916,0.83,0,92.42,46.87,44.55
6,20,171,20,22.3,1.68951,0.63,0,92.42,43.94,0
6,20,171,21,16.65,0.86987,0.31,0,92.4,40.7,0
6,20,171,22,19.23,1.19477,0.33,0,92.42,38.266,0
6,20,171,23,17.94,1.00075,0.35,0,92.41,37.049,0
6,21,172,0,14.56,0.57925,0.38,0,92.24,36.916,0
6,21,172,1,15.97,0.70573,0.41,0,92.36,37.725,0
6,21,172,2,15.27,0.59047,0.45,0,92.31,38.662,0
6,21,172,3,14.23,0.43878,0.48,0,92.31,38.801,0
6,21,172,4,14.44,0.42983,0.54,0,92.26,38.237,0
6,21,172,5,14.33,0.38438,0.6,0,92.28,36.58,10.43
6,21,172,6,20.79,1.19118,0.68,0,92.42,33.874,120.02
6,21,172,7,16.41,0.59357,0.89,0,92.33,33.607,243.46
6,21,172,8,18.59,0.87841,0.91,0,92.37,35.856,357.84
6,21,172,9,25.02,1.94753,0.92,0,92.33,39.46,758.45
6,21,172,10,22.21,1.45006,1.02,0,92.4,43.332,885.6
6,21,172,11,23.62,1.71395,1.12,0,92.37,45.875,968.14
6,21,172,12,25.58,2.10994,1.23,0,92.18,47.177,1001.98
6,21,172,13,25.22,2.08019,1.3,0,92.3,47.646,981.61
6,21,172,14,25.41,2.16148,1.37,0,92.25,47.539,910.47
6,21,172,15,23.34,1.81177,1.43,0,92.21,47.056,491.4
6,21,172,16,24.83,2.11554,1.4,0,92.19,46.381,394.5
6,21,172,17,24.08,1.99626,1.36,0,92.2,45.432,279.71
6,21,172,18,18.44,1.10642,1.3,0,92.37,45.365,248.18
6,21,172,19,21.69,1.58949,1.18,0,92.25,44.713,45.26
6,21,172,20,20.06,1.31593,0.97,0,92.3,43.809,0
6,21,172,21,15.54,0.69784,0.56,0,92.42,41.885,0
6,21,172,22,17.47,0.91534,0.56,0,92.38,40.355,0
6,21,172,23,16.5,0.77624,0.57,0,92.4,39.722,0
6,22,173,0,13.5,0.42294,0.59,0,92.41,39.385,0
6,22,173,1,14.86,0.57788,0.66,0,92.42,39.021,0
6,22,173,2,14.18,0.51162,0.73,0,92.41,37.646,0
6,22,173,3,12.15,0.31331,0.8,0.007,92.47,35.667,0
6,22,173,4,13.04,0.45544,0.89,0.007,92.42,34.55,0
6,22,173,5,12.59,0.46756,0.99,0.007,92.44,34.718,9.94
6,22,173,6,15.18,0.79151,1.03,0.003,92.66,34.256,198.18
6,22,173,7,13.14,0.64087,1.15,0.003,92.51,34.571,403.37
6,22,173,8,14.15,0.8083,1.19,0.003,92.58,35.453,593.41
6,22,173,9,20.04,1.619,1.22,0,92.64,37.084,466.1
6,22,173,10,16.8,1.19923,1.16,0,92.66,39.696,544.52
6,22,173,11,18.42,1.43331,1.11,0,92.65,42.277,595.41
6,22,173,12,21.82,1.96737,1.07,0,92.63,44.132,1000.61
6,22,173,13,20.63,1.76564,1.09,0,92.64,45.279,980.65
6,22,173,14,21.23,1.84623,1.12,0,92.63,45.767,909.62
6,22,173,15,20.58,1.73122,1.14,0,92.69,45.844,792.07
6,22,173,16,21.4,1.87452,1.11,0,92.64,45.449,635.95
6,22,173,17,20.99,1.82044,1.06,0,92.66,44.509,450.88
6,22,173,18,16.2,1.16373,0.98,0,92.83,44.171,247.93
6,22,173,19,19.11,1.55201,0.84,0,92.72,43.312,45.34
6,22,173,20,17.65,1.36278,0.69,0,92.77,42.254,0
6,22,173,21,12.85,0.79383,0.14,0,92.87,39.193,0
6,22,173,22,15.08,1.00675,0.13,0,92.84,36.522,0
6,22,173,23,13.96,0.87092,0.14,0,92.85,34.211,0
6,23,174,0,11.4,0.61052,0.16,0,92.89,31.895,0
6,23,174,1,12.36,0.66557,0.23,0,92.87,29.958,0
6,23,174,2,11.88,0.59195,0.3,0,92.88,28.37,0
6,23,174,3,11.03,0.49108,0.39,0,92.95,27.108,0
6,23,174,4,11.27,0.4915,0.47,0,92.9,26.546,0
6,23,174,5,11.15,0.46235,0.56,0,92.92,26.182,9.34
6,23,174,6,18.57,1.27577,0.66,0,93.1,25.585,196.79
6,23,174,7,13.53,0.65019,0.77,0,92.98,36.078,402.05
6,23,174,8,16.04,0.89774,0.76,0,93.03,38.826,592.34
6,23,174,9,24.44,2.1479,0.73,0,93.04,41.355,756.52
6,23,174,10,20.53,1.53499,0.64,0,93.09,45.863,884.13
6,23,174,11,22.49,1.91191,0.54,0,93.07,51.194,967.06
6,23,174,12,25.98,2.62875,0.43,0,92.88,56.015,999.73
6,23,174,13,24.97,2.4408,0.42,0,93,59.209,979.73
6,23,174,14,25.48,2.56184,0.42,0,92.95,60.814,908.99
6,23,174,15,24,2.29363,0.45,0,92.86,61.32,792.17
6,23,174,16,25.32,2.57134,0.49,0,92.88,60.869,636.05
6,23,174,17,24.66,2.46313,0.52,0,92.87,59.234,451.09
